Correct:
IL1B, AGTR2
SNRNP70, VCAM1
TFAP2B, EDN1
HSPB1, CASP3
MYC, CEBPB
NMB, PIK3CB
SPRR2A, PAEP
DHPS, ITGA2
NOS2, FASN
PDHX, NMU
SHBG, SNRNP70
KIR3DL1, PSMA6
ANXA6, S100A1
MTRR, GLUL
KIR2DL3, HSPB2
CISD2, TGFB1
EGFR, IGFBP2
INPPL1, KRT16
SLC38A7, SUMO4
CRK, STAT5B
FOXO3, SIRT3
TTR, RAI1
PTPRF, IRS2
AGTR1, MPO
LIPC, PPARGC1A
COX8A, HNF4A
HSD11B1, ACP1
THY1, ITGAM
TCF7L2, CISH
BRCA1, FANCD2
SOD1, DBI
RELA, KLF6
LETM1, PPARG
INSIG2, S100B
AKR1C2, IGF1R
ACACA, HLA-DPB1
WRN, LIPE
HTR2A, DNMT1
BMP4, LTA
TIMP4, RMC1
CD40, BIRC2
S100A9, TRA2B
ESR2, MTHFR
TRA2B, MTTP
PSMD9, CDK4
SIGLEC7, CYP2D6
PTPN6, IL6ST
POU2F1, STAT5B
CCL5, CCR3
MAPK1, ESR2
RIMS2, GSTM1
PDHX, ITGAX
SHC1, RAPGEF1
SNRNP70, KIF11
PLA2G1B, IGF2R
HLA-DPB1, BCL11A
MTTP, CRHR2
ROBO1, AVP
JAK2, EGFR
TLE1, FOXA2
TP53, HSPB1
PRKAR2B, MAP4K4
PDHX, ICAM1
EGFR, DNAH8
DNAH8, SLC29A1
TSC22D1, NOX5
RAF1, MAP3K5
APOC2, LPL
PLG, HSPB1
TNF, BIRC2
OXT, MAPK9
LIPC, DDIT3
APP, GNAO1
GPX1, RPGRIP1L
KMT2D, SELE
APOE, APP
PGC, RELA
ESR1, AHR
AGER, RPS6KB1
CBS, UBASH3A
HGF, ARNTL
KAT2B, HP
CASP3, PRKCZ
MYCBP, HGF
GCG, ABHD6
GSR, CNDP2
FGF2, ADORA1
FGB, PTPN11
NR1H2, IL1R1
NFKB1, APC
MRAP2, TFB1M
PLA2G7, REG1A
EBI3, BSCL2
ADRA2A, UCHL1
SUMO4, CD38
KCNK16, ELANE
ESR1, PTPN1
HSPA5, AKT1
PARP1, XRCC1
PROX1, REG1A
RAI1, CA2
TNFSF10, GABPA
THBS1, MMP2
LIPG, ACAD8
PTPN11, PTK2B
GPD2, CAST
IL2RB, STAT5B
PRKAA2, IL17A
CERS6, SHC1
CIDEA, PRKAB1
IL1R1, IL1RN
TNFRSF1A, PTPN6
CLPS, GLP1R
ABCG1, PRKAG2
STAT5A, PTPN11
HSPD1, CASP3
FBN1, HNF4A
GYS1, PRKAB1
ACSL1, DDAH1
MTG1, ARNT
ANGPTL4, ICA1
AKT2, PDK1
NOS2, PSMA6
BRCA1, YWHAZ
SCARB1, NOCT
YY1, LCN2
GCG, IDE
LMNA, GALNT2
ABCA1, APOA1
FABP4, CCK
LTC4S, GYS1
NOS3, ACTB
MYC, RELA
WFS1, ATF6
FN1, IGF2BP2
ATXN2, RBFOX1
EGFR, GLUL
IGF2, AHSA1
NAT2, MUSK
MTR, MOK
TLR5, GC
PTGES2, AFP
RAPGEF5, TXNRD2
HSPD1, CTNNB1
BCL2, BLK
XYLT2, NPPA
TLR2, DCN
BCAR1, OSM
AGTR1, ATP12A
CNBP, MAPK14
CTNNB1, HNF4A
CNR1, FOXA2
MYH9, CD163
DNMT1, YWHAZ
ESR2, F3
TERF1, YWHAZ
AHSA1, EGFR
TNFRSF1A, GRN
ANXA1, BCAR1
MC4R, MRAP2
NEIL1, CARTPT
DBI, IGF2
GAPDH, PCNA
CDK4, POMC
KCTD15, CPE
CTSS, TLE1
CD44, PRKCZ
EGFR, MAPK8
CAST, PIK3R1
PCNA, DNMT1
SOD1, EIF5A
UCP3, SELE
LCK, STAT3
REN, KLF15
MTG1, CST3
MAPK14, GDF15
CTNNB1, PIK3CA
THRSP, BAMBI
CCL2, CCR5
EGFR, GRB10
APOA1, APOA2
TLR2, TUBB4B
PER3, GNAO1
PTPN6, CASP8
TIPARP, KNG1
F7, F3
PLIN4, BCL2L1
TGFB1, THBS1
PTPN1, CRK
MEF2A, MAPK7
MYOD1, ESR2
AKT2, SPRR2A
